Country,Year,Total,Definiton,Interpretation,Link
Venezuela (Bolivarian Republic of),2013,18,,,
Bangladesh,2013,na,,,
Sri Lanka,2013,na,,,
Botswana,2013,0,,,
Cabo Verde,2013,0,,,
Cameroon,2013,na,,,
Comoros,2013,na,,,
Guinea,2013,16,,,
Guinea-Bissau,2013,0,,,
Kenya,2013,na,,,
Lesotho,2013,2,,,
Mauritania,2013,0,,,
Mauritius,2013,8,,,
Mozambique,2013,na,,,
Namibia,2013,na,,,
Nigeria,2013,30,,,
Rwanda,2013,na,,,
Senegal,2013,na,,,
Seychelles,2013,0,,,
South Africa,2013,4,,,
Swaziland,2013,2,,,
Togo,2013,na,,,
Uganda,2013,na,,,
United Republic of Tanzania,2013,na,,,
Zimbabwe,2013,0,,,
Albania,2013,na,,,
Austria,2013,na,,,
Belgium,2013,na,,,
Brunei Darussalam,2013,na,,,
Bulgaria,2013,na,,,
Croatia,2013,na,,,
Cyprus,2013,na,,,
Czechia,2013,9,,,
Denmark,2013,6,,,
Estonia,2013,0,,,
Finland,2013,na,,,
Germany,2013,28,,,
Greece,2013,na,,,
Hungary,2013,na,,,
Ireland,2013,0,,,
Italy,2013,na,,,
Latvia,2013,1,,,
Lithuania,2013,na,,,
Malta,2013,1,,,
Marshall Islands,2013,na,,,
Montenegro,2013,0,,,
Netherlands,2013,na,,,
Norway,2013,na,,,
Poland,2013,na,,,
Portugal,2013,4,,,
Republic of Moldova,2013,na,,,
Romania,2013,104,,,
Russian Federation,2013,na,,,
Serbia,2013,1,,,
Slovakia,2013,na,,,
Slovenia,2013,3,,,
Solomon Islands,2013,0,,,
Spain,2013,223,,,
Sweden,2013,2,,,
Switzerland,2013,na,,,
The former Yugoslav Republic of Macedonia,2013,1,,,
Turkey,2013,na,,,
United Kingdom of Great Britain and Northern Ireland,2013,21,,,
Bahamas,2012,na,,,
Barbados,2012,0,,,
Costa Rica,2012,na,,,
Cuba,2012,2,,,
Dominican Republic,2012,na,,,
El Salvador,2012,9,,,
Guatemala,2012,na,,,
Honduras,2012,0,,,
Jamaica,2012,2,,,
Nicaragua,2012,na,,,
Panama,2012,0,,,
Saint Vincent and the Grenadines,2012,0,,,
Trinidad and Tobago,2012,0,,,
Australia,2012,0,,,
Fiji,2012,0,,,
Indonesia,2012,na,,,
Japan,2012,13,,,
Malaysia,2012,8,,,
Mongolia,2012,219,,,
New Zealand,2012,0,,,
Philippines,2012,342,,,
Singapore,2012,na,,,
Taiwan province of China,2012,0,,,
Thailand,2012,na,,,
Viet Nam,2012,na,,,
Armenia,2012,7,,,
Azerbaijan,2012,13,,,
Belarus,2012,26,,,
Georgia,2012,na,,,
Tajikistan,2012,17,,,
Ukraine,2012,na,,,
Uzbekistan,2012,350,,,
Algeria,2012,0,,,
Bahrain,2012,1,,,
Israel,2012,na,,,
Lebanon,2012,na,,,
Oman,2012,0,,,
Qatar,2012,na,,,
Syrian Arab Republic,2012,na,,,
United Arab Emirates,2012,27,,,
Yemen,2012,0,,,
Canada,2012,8,,,
Mexico,2012,26,,,
United States of America,2012,na,,,
Argentina,2012,41,,,
Bolivia (Plurinational State of),2012,na,,,
Chile,2012,na,,,
Colombia,2012,28,,,
Ecuador,2012,10,,,
Guyana,2012,na,,,
Paraguay,2012,6,,,
Peru,2012,na,,,
Suriname,2012,na,,,
Uruguay,2012,0,,,
Venezuela (Bolivarian Republic of),2012,9,,,
Bangladesh,2012,na,,,
Sri Lanka,2012,na,,,
Botswana,2012,0,,,
Cabo Verde,2012,0,,,
Cameroon,2012,na,,,
Comoros,2012,0,,,
Guinea,2012,na,,,
Guinea-Bissau,2012,0,,,
Kenya,2012,na,,,
Lesotho,2012,4,,,
Mauritania,2012,0,,,
Mauritius,2012,15,,,
Mozambique,2012,na,,,
Namibia,2012,2,,,
Nigeria,2012,23,,,
Rwanda,2012,na,,,
Senegal,2012,0,,,
Seychelles,2012,0,,,
South Africa,2012,6,,,
Swaziland,2012,1,,,
Togo,2012,na,,,
Uganda,2012,na,,,
United Republic of Tanzania,2012,na,,,
Zimbabwe,2012,0,,,
Albania,2012,na,,,
Austria,2012,na,,,
Belgium,2012,na,,,
Brunei Darussalam,2012,1,,,
Bulgaria,2012,na,,,
Croatia,2012,na,,,
Cyprus,2012,na,,,
Czechia,2012,6,,,
Denmark,2012,2,,,
Estonia,2012,2,,,
Finland,2012,na,,,
Germany,2012,37,,,
Greece,2012,na,,,
Hungary,2012,na,,,
Ireland,2012,0,,,
Italy,2012,na,,,
Latvia,2012,3,,,
Lithuania,2012,3,,,
Malta,2012,1,,,
Marshall Islands,2012,na,,,
Montenegro,2012,0,,,
Netherlands,2012,54,,,
Norway,2012,8,,,
Poland,2012,na,,,
Portugal,2012,na,,,
Republic of Moldova,2012,na,,,
Romania,2012,90,,,
Russian Federation,2012,na,,,
Serbia,2012,4,,,
Slovakia,2012,4,,,
Slovenia,2012,na,,,
Solomon Islands,2012,0,,,
Spain,2012,na,,,
Sweden,2012,4,,,
Switzerland,2012,na,,,
The former Yugoslav Republic of Macedonia,2012,3,,,
Turkey,2012,na,,,
United Kingdom of Great Britain and Northern Ireland,2012,10,,,
Bahamas,2011,na,,,
Barbados,2011,0,,,
Costa Rica,2011,na,,,
Cuba,2011,na,,,
Dominican Republic,2011,7,,,
El Salvador,2011,9,,,
Guatemala,2011,14,,,
Honduras,2011,na,,,
Jamaica,2011,0,,,
Nicaragua,2011,na,,,
Panama,2011,1,,,
Saint Vincent and the Grenadines,2011,0,,,
Trinidad and Tobago,2011,0,,,
Australia,2011,1,,,
Fiji,2011,na,,,
Indonesia,2011,na,,,
Japan,2011,3,,,
Malaysia,2011,na,,,
Mongolia,2011,225,,,
New Zealand,2011,0,,,
Philippines,2011,na,,,
Singapore,2011,na,,,
Taiwan province of China,2011,86,,,
Thailand,2011,na,,,
Viet Nam,2011,108,,,
Armenia,2011,7,,,
Azerbaijan,2011,na,,,
Belarus,2011,42,,,
Georgia,2011,na,,,
Tajikistan,2011,na,,,
Ukraine,2011,na,,,
Uzbekistan,2011,331,,,
Algeria,2011,na,,,
Bahrain,2011,1,,,
Israel,2011,na,,,
Lebanon,2011,na,,,
Oman,2011,na,,,
Qatar,2011,2,,,
Syrian Arab Republic,2011,na,,,
United Arab Emirates,2011,41,,,
Yemen,2011,0,,,
Canada,2011,2,,,
Mexico,2011,56,,,
United States of America,2011,na,,,
Argentina,2011,25,,,
Bolivia (Plurinational State of),2011,na,,,
Chile,2011,16,,,
Colombia,2011,22,,,
Ecuador,2011,na,,,
Guyana,2011,1,,,
Paraguay,2011,10,,,
Peru,2011,na,,,
Suriname,2011,na,,,
Uruguay,2011,0,,,
Venezuela (Bolivarian Republic of),2011,na,,,
Bangladesh,2011,na,,,
Sri Lanka,2011,na,,,
Botswana,2011,0,,,
Cabo Verde,2011,0,,,
Cameroon,2011,na,,,
Comoros,2011,0,,,
Guinea,2011,na,,,
Guinea-Bissau,2011,0,,,
Kenya,2011,0,,,
Lesotho,2011,na,,,
Mauritania,2011,4,,,
Mauritius,2011,na,,,
Mozambique,2011,na,,,
Namibia,2011,0,,,
Nigeria,2011,24,,,
Rwanda,2011,na,,,
Senegal,2011,0,,,
Seychelles,2011,0,,,
South Africa,2011,na,,,
Swaziland,2011,na,,,
Togo,2011,na,,,
Uganda,2011,3,,,
United Republic of Tanzania,2011,na,,,
Zimbabwe,2011,0,,,
Albania,2011,na,,,
Austria,2011,na,,,
Belgium,2011,na,,,
Brunei Darussalam,2011,2,,,
Bulgaria,2011,na,,,
Croatia,2011,na,,,
Cyprus,2011,20,,,
Czechia,2011,na,,,
Denmark,2011,5,,,
Estonia,2011,na,,,
Finland,2011,na,,,
Germany,2011,39,,,
Greece,2011,145,,,
Hungary,2011,6,,,
Ireland,2011,2,,,
Italy,2011,na,,,
Latvia,2011,7,,,
Lithuania,2011,7,,,
Malta,2011,1,,,
Marshall Islands,2011,na,,,
Montenegro,2011,0,,,
Netherlands,2011,43,,,
Norway,2011,5,,,
Poland,2011,na,,,
Portugal,2011,na,,,
Republic of Moldova,2011,na,,,
Romania,2011,87,,,
Russian Federation,2011,na,,,
Serbia,2011,10,,,
Slovakia,2011,2,,,
Slovenia,2011,na,,,
Solomon Islands,2011,na,,,
Spain,2011,na,,,
Sweden,2011,1,,,
Switzerland,2011,na,,,
The former Yugoslav Republic of Macedonia,2011,1,,,
Turkey,2011,16,,,
United Kingdom of Great Britain and Northern Ireland,2011,28,,,
