Country,Year,Past 12 months,Definition,Interpretation,Link
Saint Vincent and the Grenadines,2013,0.6,,,
Saint Vincent and the Grenadines,2013,0.7,,,
Trinidad and Tobago,2013,1.5,,,
Trinidad and Tobago,2013,1.1,,,
Belize,2013,1.6,,,
Belize,2013,0.7,,,
Panama,2013,0.3,,,
Panama,2013,0,,,
United States of America,2013,1.9,,,
United States of America,2013,0.8,,,
Bolivia (Plurinational State of),2013,0.1,,,
Bolivia (Plurinational State of),2013,0,,,
Chile,2013,4.5,,,
Chile,2013,3.3,,,
Chile,2013,2.3,,,
Guyana,2013,1.7,,,
Guyana,2013,1.1,,,
Bulgaria,2013,3.4,,,
Bulgaria,2013,3.4,,,
Denmark,2013,,,,
England,2013,1.9,,,
England,2013,1.6,,,
England,2013,0.8,,,
Estonia,2013,,,,
Finland,2013,,,,
Germany,2013,,,,
Germany,2013,,,,
Italy,2013,1.3,,,
Italy,2013,0.9,,,
Italy,2013,0.5,,,
Poland,2013,1.9,,,
United Kingdom (Scotland),2013,2,,,
United Kingdom (Scotland),2013,1,,,
Australia,2013,1.1,,,
Canada,2012/13,2,,,
Belgium,2012/13,0.8,,,
Costa Rica,2012,0.8,,,
Costa Rica,2012,0.6,,,
Costa Rica,2012,0.4,,,
El Salvador,2012,0.4,,,
El Salvador,2012,0.4,,,
El Salvador,2012,0,,,
United States of America,2012,2,,,
United States of America,2012,0.8,,,
United States of America,2012,1.8,,,
Colombia,2012,2.1,,,
Colombia,2012,0.1,,,
Ecuador,2012,1,,,
Ecuador,2012,0.3,,,
Ecuador,2012,0.6,,,
Peru,2012,0.9,,,
Peru,2012,0.9,,,
Peru,2012,,,,
Kazakhstan,2012,,,,
Belgium,2012,0.8,,,
Cyprus,2012,0.1,,,
England,2012,2.6,,,
England,2012,2.2,,,
England,2012,0.8,,,
Germany,2012,,,,
Germany,2012,,,,
Italy,2012,1.1,,,
Italy,2012,0.7,,,
Italy,2012,0.6,,,
Poland,2012,,,,
Poland,2012,,,,
Spain,2012,2.5,,,
Spain,2012,2,,,
South Africa,2011/12,,,,
South Africa,2011,,,,
Bahamas,2011,0.7,,,
Bahamas,2011,0.5,,,
Dominica,2011,1.3,,,
Dominica,2011,0.9,,,
Mexico,2011,0.4,,,
Mexico,2011,0.4,,,
Mexico,2011,0.4,,,
Mexico,2011,0,,,
United States of America,2011,1.9,,,
United States of America,2011,0.9,,,
United States of America,2011,1.7,,,
Argentina,2011,,,,
Argentina,2011,2.8,,,
Argentina,2011,1.1,,,
Argentina,2011,,,,
Chile,2011,4.7,,,
Chile,2011,3.6,,,
Chile,2011,2.4,,,
Colombia,2011,1.9,,,
Colombia,2011,0.5,,,
Uruguay,2011,1.6,,,
Uruguay,2011,1.4,,,
Uruguay,2011,,,,
Uruguay,2011,0.4,,,
Venezuela (Bolivarian Republic of),2011,0.3,,,
"China, Hong Kong SAR",2011,0.05,,,
Indonesia,2011,0.2,,,
Indonesia,2011,0.2,,,
Russian Federation,2011,,,,
Russian Federation,2011,,,,
Ukraine,2011,,,,
Ukraine,2011,,,,
Bulgaria,2011,,,,
Bulgaria,2011,,,,
Montenegro,2011,,,,
Montenegro,2011,,,,
Romania,2011,,,,
Romania,2011,,,,
Serbia,2011,,,,
Serbia,2011,,,,
Belgium,2011,0.6,,,
Cyprus,2011,,,,
Czechia,2011,,,,
Czechia,2011,,,,
Denmark,2011,,,,
England,2011,2.3,,,
England,2011,1.8,,,
England,2011,0.7,,,
Estonia,2011,,,,
Estonia,2011,,,,
Finland,2011,,,,
France,2011,2.2,,,
France,2011,0.5,,,
Germany,2011,,,,
Germany,2011,,,,
Germany,2011,0.2,,,
Germany,2011,0,,,
Greece,2011,,,,
Greece,2011,,,,
Iceland,2011,,,,
Ireland,2011,,,,
Ireland,2011,,,,
Latvia,2011,,,,
Latvia,2011,,,,
Liechtenstein,2011,,,,
Lithuania,2011,,,,
Lithuania,2011,,,,
Malta,2011,,,,
Malta,2011,,,,
Netherlands,2011,,,,
Norway,2011,,,,
Portugal,2011,,,,
Portugal,2011,,,,
Slovenia,2011,,,,
Slovenia,2011,,,,
Canada,2010/11,1.9,,,
