Country,Year,Total,Definiton,Interpretation,Link
Venezuela (Bolivarian Republic of),2013,29,,,
Bangladesh,2013,106,,,
Sri Lanka,2013,na,,,
Botswana,2013,0,,,
Cabo Verde,2013,0,,,
Cameroon,2013,8,,,
Comoros,2013,na,,,
Guinea,2013,22,,,
Guinea-Bissau,2013,0,,,
Kenya,2013,na,,,
Lesotho,2013,4,,,
Mauritania,2013,0,,,
Mauritius,2013,10,,,
Mozambique,2013,na,,,
Namibia,2013,na,,,
Nigeria,2013,62,,,
Rwanda,2013,10,,,
Senegal,2013,na,,,
Seychelles,2013,0,,,
South Africa,2013,43,,,
Swaziland,2013,2,,,
Togo,2013,62,,,
Uganda,2013,56,,,
United Republic of Tanzania,2013,na,,,
Zimbabwe,2013,0,,,
Albania,2013,42,,,
Austria,2013,na,,,
Belgium,2013,602,,,
Brunei Darussalam,2013,na,,,
Bulgaria,2013,125,,,
Croatia,2013,na,,,
Cyprus,2013,na,,,
Czechia,2013,30,,,
Denmark,2013,21,,,
Estonia,2013,2,,,
Finland,2013,34,,,
Germany,2013,135,,,
Greece,2013,na,,,
Hungary,2013,na,,,
Ireland,2013,16,,,
Italy,2013,na,,,
Latvia,2013,5,,,
Lithuania,2013,na,,,
Malta,2013,2,,,
Marshall Islands,2013,na,,,
Montenegro,2013,0,,,
Netherlands,2013,254,,,
Norway,2013,na,,,
Poland,2013,47,,,
Portugal,2013,29,,,
Republic of Moldova,2013,27,,,
Romania,2013,552,,,
Russian Federation,2013,na,,,
Serbia,2013,15,,,
Slovakia,2013,na,,,
Slovenia,2013,9,,,
Solomon Islands,2013,0,,,
Spain,2013,670,,,
Sweden,2013,3,,,
Switzerland,2013,na,,,
The former Yugoslav Republic of Macedonia,2013,42,,,
Turkey,2013,323,,,
United Kingdom of Great Britain and Northern Ireland,2013,71,,,
Bahamas,2012,na,,,
Barbados,2012,0,,,
Costa Rica,2012,na,,,
Cuba,2012,14,,,
Dominican Republic,2012,21,,,
El Salvador,2012,23,,,
Guatemala,2012,54,,,
Honduras,2012,0,,,
Jamaica,2012,3,,,
Nicaragua,2012,19,,,
Panama,2012,0,,,
Saint Vincent and the Grenadines,2012,0,,,
Trinidad and Tobago,2012,0,,,
Australia,2012,1,,,
Fiji,2012,4,,,
Indonesia,2012,164,,,
Japan,2012,38,,,
Malaysia,2012,15,,,
Mongolia,2012,325,,,
New Zealand,2012,0,,,
Philippines,2012,639,,,
Singapore,2012,na,,,
Taiwan province of China,2012,93,,,
Thailand,2012,465,,,
Viet Nam,2012,na,,,
Armenia,2012,13,,,
Azerbaijan,2012,22,,,
Belarus,2012,75,,,
Georgia,2012,na,,,
Tajikistan,2012,22,,,
Ukraine,2012,na,,,
Uzbekistan,2012,730,,,
Algeria,2012,0,,,
Bahrain,2012,1,,,
Israel,2012,15,,,
Lebanon,2012,2,,,
Oman,2012,0,,,
Qatar,2012,na,,,
Syrian Arab Republic,2012,na,,,
United Arab Emirates,2012,149,,,
Yemen,2012,0,,,
Canada,2012,48,,,
Mexico,2012,68,,,
United States of America,2012,200,,,
Argentina,2012,117,,,
Bolivia (Plurinational State of),2012,285,,,
Chile,2012,3,,,
Colombia,2012,45,,,
Ecuador,2012,44,,,
Guyana,2012,na,,,
Paraguay,2012,9,,,
Peru,2012,na,,,
Suriname,2012,na,,,
Uruguay,2012,0,,,
Venezuela (Bolivarian Republic of),2012,18,,,
Bangladesh,2012,84,,,
Sri Lanka,2012,na,,,
Botswana,2012,0,,,
Cabo Verde,2012,0,,,
Cameroon,2012,na,,,
Comoros,2012,0,,,
Guinea,2012,na,,,
Guinea-Bissau,2012,0,,,
Kenya,2012,na,,,
Lesotho,2012,14,,,
Mauritania,2012,0,,,
Mauritius,2012,28,,,
Mozambique,2012,15,,,
Namibia,2012,2,,,
Nigeria,2012,39,,,
Rwanda,2012,na,,,
Senegal,2012,3,,,
Seychelles,2012,0,,,
South Africa,2012,27,,,
Swaziland,2012,4,,,
Togo,2012,80,,,
Uganda,2012,na,,,
United Republic of Tanzania,2012,3,,,
Zimbabwe,2012,0,,,
Albania,2012,30,,,
Austria,2012,na,,,
Belgium,2012,593,,,
Brunei Darussalam,2012,1,,,
Bulgaria,2012,111,,,
Croatia,2012,na,,,
Cyprus,2012,na,,,
Czechia,2012,31,,,
Denmark,2012,9,,,
Estonia,2012,4,,,
Finland,2012,72,,,
Germany,2012,162,,,
Greece,2012,na,,,
Hungary,2012,na,,,
Ireland,2012,15,,,
Italy,2012,na,,,
Latvia,2012,12,,,
Lithuania,2012,24,,,
Malta,2012,1,,,
Marshall Islands,2012,2,,,
Montenegro,2012,1,,,
Netherlands,2012,311,,,
Norway,2012,22,,,
Poland,2012,32,,,
Portugal,2012,14,,,
Republic of Moldova,2012,na,,,
Romania,2012,536,,,
Russian Federation,2012,na,,,
Serbia,2012,24,,,
Slovakia,2012,16,,,
Slovenia,2012,19,,,
Solomon Islands,2012,0,,,
Spain,2012,738,,,
Sweden,2012,15,,,
Switzerland,2012,na,,,
The former Yugoslav Republic of Macedonia,2012,60,,,
Turkey,2012,217,,,
United Kingdom of Great Britain and Northern Ireland,2012,33,,,
Bahamas,2011,na,,,
Barbados,2011,0,,,
Costa Rica,2011,32,,,
Cuba,2011,na,,,
Dominican Republic,2011,20,,,
El Salvador,2011,21,,,
Guatemala,2011,32,,,
Honduras,2011,13,,,
Jamaica,2011,1,,,
Nicaragua,2011,16,,,
Panama,2011,4,,,
Saint Vincent and the Grenadines,2011,0,,,
Trinidad and Tobago,2011,0,,,
Australia,2011,2,,,
Fiji,2011,na,,,
Indonesia,2011,na,,,
Japan,2011,4,,,
Malaysia,2011,na,,,
Mongolia,2011,351,,,
New Zealand,2011,0,,,
Philippines,2011,na,,,
Singapore,2011,na,,,
Taiwan province of China,2011,155,,,
Thailand,2011,na,,,
Viet Nam,2011,385,,,
Armenia,2011,13,,,
Azerbaijan,2011,20,,,
Belarus,2011,98,,,
Georgia,2011,na,,,
Tajikistan,2011,44,,,
Ukraine,2011,na,,,
Uzbekistan,2011,654,,,
Algeria,2011,0,,,
Bahrain,2011,2,,,
Israel,2011,24,,,
Lebanon,2011,na,,,
Oman,2011,na,,,
Qatar,2011,29,,,
Syrian Arab Republic,2011,na,,,
United Arab Emirates,2011,111,,,
Yemen,2011,0,,,
Canada,2011,10,,,
Mexico,2011,115,,,
United States of America,2011,213,,,
Argentina,2011,77,,,
Bolivia (Plurinational State of),2011,na,,,
Chile,2011,28,,,
Colombia,2011,36,,,
Ecuador,2011,na,,,
Guyana,2011,3,,,
Paraguay,2011,23,,,
Peru,2011,na,,,
Suriname,2011,na,,,
Uruguay,2011,0,,,
Venezuela (Bolivarian Republic of),2011,na,,,
Bangladesh,2011,na,,,
Sri Lanka,2011,1,,,
Botswana,2011,0,,,
Cabo Verde,2011,0,,,
Cameroon,2011,na,,,
Comoros,2011,0,,,
Guinea,2011,na,,,
Guinea-Bissau,2011,0,,,
Kenya,2011,0,,,
Lesotho,2011,na,,,
Mauritania,2011,4,,,
Mauritius,2011,na,,,
Mozambique,2011,na,,,
Namibia,2011,0,,,
Nigeria,2011,85,,,
Rwanda,2011,1,,,
Senegal,2011,3,,,
Seychelles,2011,0,,,
South Africa,2011,na,,,
Swaziland,2011,na,,,
Togo,2011,71,,,
Uganda,2011,4,,,
United Republic of Tanzania,2011,na,,,
Zimbabwe,2011,0,,,
Albania,2011,28,,,
Austria,2011,na,,,
Belgium,2011,na,,,
Brunei Darussalam,2011,3,,,
Bulgaria,2011,112,,,
Croatia,2011,2,,,
Cyprus,2011,46,,,
Czechia,2011,na,,,
Denmark,2011,12,,,
Estonia,2011,na,,,
Finland,2011,na,,,
Germany,2011,148,,,
Greece,2011,220,,,
Hungary,2011,32,,,
Ireland,2011,8,,,
Italy,2011,na,,,
Latvia,2011,27,,,
Lithuania,2011,33,,,
Malta,2011,3,,,
Marshall Islands,2011,na,,,
Montenegro,2011,0,,,
Netherlands,2011,257,,,
Norway,2011,15,,,
Poland,2011,22,,,
Portugal,2011,10,,,
Republic of Moldova,2011,111,,,
Romania,2011,480,,,
Russian Federation,2011,na,,,
Serbia,2011,52,,,
Slovakia,2011,14,,,
Slovenia,2011,13,,,
Solomon Islands,2011,na,,,
Spain,2011,na,,,
Sweden,2011,9,,,
Switzerland,2011,na,,,
The former Yugoslav Republic of Macedonia,2011,24,,,
Turkey,2011,74,,,
United Kingdom of Great Britain and Northern Ireland,2011,146,,,
