Country,ISO,Domain,Theme,Yes? (Metrics),Metrics,Total number of metrics,Priorities
France,FRA,Health,Other/too general goals/metrics,Yes,"Reduce the prevalence of pathologies and traumas caused by the consumption of psychoactive products (especially punctual alcoholism) and behavioral addictions {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.20} ~ ENa-CAARUD surveys (OFDT): route of administration of buprenorphine by CAARUD clients {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015,p.103} ~ Oppidum survey (ANSM): route of administration of buprenorphine by CSAPA or CAARUD clients {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.103} ~  ",3,"Basing public initiative upon Observation, Research and Assessment {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.14} ~ Adapting the provision of primary and specialised healthcare {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.31} ~ Reducing health risks and negative social impact {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.39} ~ By reducing drug interactions through the creation of a functional liaison between urban pharmacies and CSAPAs for patients receiving care within these facilities {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.35} ~ By coordinating and consolidating quantitative investigations into topics linked to health: the creation of a common platform for surveys among the population will enable pooling of the numerous French inquiries in the field of addictions {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.75} ~ By stimulating neurosciences research into the molecular and cellular mechanisms {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.74} ~ By consolidating research potential in the social sciences {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.74} ~ Improve the management and care of psychoactive substance users in health facilities and penal institutions {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.14} ~ Support research on new treatments for addictive behaviors and addiction {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.18} ~ Reduce health risks and social harm {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.24} ~ Provide better access to care for people dependent on products {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.34} ~ "
France,FRA,Peace and Security,Prevalence of alcohol and drugs in accidents,Yes,"Reduce the prevalence of alcohol and drugs in accidents, especially fatal ones {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.35} ~",1,"Undertaking Educational Initiatives with Regard to the Dangers of Driving Under the Influence of Psychoactive Substances: By conducting specific communication and information campaigns. By raising driving licence applicants’ awareness of drug use problems within the framework of preparation for the Highway Code examination. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.68} ~ Reduce risky behaviours when it comes to driving {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.7} ~ Conduct educational activities on the dangers of consuming psychoactive substances while driving {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.35} ~ Implement actions that will increase individual's awareness of safety when it comes to hazards associated with driving under the influence, in order to reduce risky behaviour {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.7} ~ There is a need to better control driving under the influence of alcohol and/or after the use of narcotic drugs {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.25} ~ Generalize the use of a saliva sample confirming the use of narcotics in road safety {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.25} ~ Update data on the liability of alcohol and drugs in road accidents {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.25} ~ Put in place actions to raise awareness of road safety, taking into account the consumption of psychoactive products, in national education and agricultural establishments, and for individuals applying for their driver's license {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.25} ~"
France,FRA,Peace and Security,Annual number of public disorder acquisitive and violent crime,Yes,"percent of prosecutions related to driving under the influence of narcotics {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.158} ~",1,"Reduce exposed (public) consumption {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.7} ~ By better detection of the involvement of alcohol and drug use in offences involving assault causing physical harm {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.67} ~ "
France,FRA,Peace and Security,Number of non-lethal drug market related violence,No,No,0,No
France,FRA,Peace and Security,Number of drug market related homicides and disappearances,No,No,0,No
France,FRA,Peace and Security,Economic Costs,No,No,0,No
France,FRA,Peace and Security,Other/too general goals/metrics,No,No,0,"Reduce health risks and social harm {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.24} ~ Investigate the effectiveness of the public's response to alcohol and drug offenses {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.34} ~ Implement new programs, in order to prevent recidivism related to addictions or substance use, for people in the hands of the justice system {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~ Improving the integration of young drug users in difficulty, as part of a care path {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.24} ~ Reduce recidivism linked to the consumption of a  psychoactive substance ... {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.34} ~ Assess the impact of programs to prevent recidivism on the course of care for the person in the hands of the justice system {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.5} ~ "
France,FRA,Development,Coverage of housing assistance for people who use drugs,No,No,0,"By facilitating the accommodation of minors who are in the greatest difficulties within residential CSAPAs {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.34} ~ By promoting long-term housing benefits {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.42} ~ Provide access to housing for individuals aged 25 and under, who use drugs and have no fixed address, or have an accommodation in conjunction with the Alternative Paid by the Day (TAPAJ) program {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.15} ~ "
France,FRA,Development,Coverage of social assistance for people who use drugs (not including housing),No,No,0,No
France,FRA,Development,Number of households nrolled in alternative development,No,No,0,No
France,FRA,Development,Other/too general goals/metrics,No,No,0,"By ensuring better geographical coverage of the specialist healthcare network {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.41} ~ Reinforcing geographical and social accessibility {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.33} ~ By adapting preventive actions [...] to the audiences most out of reach of traditional measures due to their insecure social situation. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.23} ~ By organising better geographical coverage of the specialist healthcare network {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.44} ~ By increasing the mobility of facilities {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.44} ~ Implement a geolocalisation system for specialized structures in priority neighborhoods, and facilitate access to these specialized structures for care and treatment {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.8} ~ Develop, implement and evaluate strategies, in order to adapt prevention efforts for the most geographically distant groups/population, who do not have access to devices (develop specific tools for prevention by relying on focus groups) {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.7} ~ Strengthen and improve the territorial and population coverage of liaison and addiction treatment teams (ELSA) {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ Strengthen the medical-social offer and adapt the territorial distribution of medico-social institutions to the needs of the population {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ "
France,FRA,Human Rights,Prevalence and incidence of infectious diseases in prisons,Yes,"Decrease the prevalence and incidence of infectious diseases in prisons {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.22} ~ prevalence of HIV and HCV in prison populations {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.170 & 173} ~ ",2,No
France,FRA,Human Rights,Prevalence of drug use in prisons,Yes,"the prevalence of injection drug use in prisons {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.173} ~ ",1,"By supporting improvement in the organisation of healthcare for addictions in prison, in particular at the time of release {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.42} ~ Reducing the consumption [...] of illegal substances for incarcerated persons {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~"
France,FRA,Human Rights,Proportion of drug using inmates receiving MAT,Yes,"The proportion of inmates receiving OST {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.96} ~ ",1,"By promoting the practices recommended in the guide for opiate substitution treatment in the prison environment {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.35} ~ Adapt the care available to prisoners: Develop accessibility to the various opioid substitution treatments in all penal institutions... {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.19} ~ "
France,FRA,Human Rights,Distribution of sterile injecting equipment in prisons,No,No,0,No
France,FRA,Human Rights,Disaggregated by gender,No,No,0,"Promoting awareness of the greater health and social risks incurred by women {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By highlighting the health (development of certain cancers, for example) and social risks (increased exposure to violence, for example) specific to women {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By sharing and disseminating better knowledge of scientific evidence concerning risks inherent to drug use during pregnancy {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By adapting risk-reduction services to the specific characteristics of the most vulnerable populations, and in particular to women, who do not make sufficient use of these facilities {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.41} ~ By building an integrated programme of prevention and care for disorders linked to the consequences of addictive behaviours on pregnant women and on the perinatal period {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.41} ~ By organising the deployment of a number of schemes on the territory providing residential therapeutic care for women with children. By promoting the creation of experimental schemes for the coordination of perinatal/addiction treatment teams and social services {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.33} ~ Adapt and disseminate good practices in support and care for women with addictive behaviors {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.15} ~ Disseminate good practices in accompanying and caring for women with addictive behaviors, through the dissemination of guides, and the organization of a national seminar {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ Develop a bill of specifications for residential care devices specialized in the reception of women with or without children {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ "
France,FRA,Human Rights,Disaggregated by country of birth,No,No,0,No
France,FRA,Human Rights,Disaggregated by ethnicity,No,No,0,No
France,FRA,Human Rights,Other vulnerable population,Yes,No,0,"By specifically passing on communication tools to schemes and organisations dealing with groups that are vulnerable, due to their social situation or geographical isolation {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By adapting preventive messages to audiences that are socially or economically vulnerable {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.23} ~ Reinforcing preventive action aimed at persons in custody {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.24} ~  By placing greater importance upon initiatives making it possible to approach the most disadvantaged users (outreach initiatives) {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.40} ~ By adapting the provision of information, communication and healthcare to the specific characteristics of vulnerable populations {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.44} ~ Dealing with the Specific Problem of the Diversion of Prescription Drugs in the Prison Environment: By improving training of prison staff and provision of information to prisoners {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.70} ~ Prevention messages about the consumption and trafficking of illicit substances need to be disseminated through internal video channels within penitentiaries {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~ Study psychosocial and environmental determinants of the use of psychoactive substances in armies {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.29} ~"
France,FRA,Human Rights,"Programs and services targeted towards vulnerable groups (gender, age, ethnicity, status)***",Yes,"The number of prisoners that receive treatment from CSAPA services {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.85} ~",1,"Promoting awareness of the greater health and social risks incurred by women {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By highlighting the health (development of certain cancers, for example) and social risks (increased exposure to violence, for example) specific to women {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By sharing and disseminating better knowledge of scientific evidence concerning risks inherent to drug use during pregnancy {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By adapting risk-reduction services to the specific characteristics of the most vulnerable populations, and in particular to women, who do not make sufficient use of these facilities {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.41} ~ By building an integrated programme of prevention and care for disorders linked to the consequences of addictive behaviours on pregnant women and on the perinatal period {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.41} ~ By organising the deployment of a number of schemes on the territory providing residential therapeutic care for women with children. By promoting the creation of experimental schemes for the coordination of perinatal/addiction treatment teams and social services {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.33} ~ Adapt and disseminate good practices in support and care for women with addictive behaviors {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.15} ~ Disseminate good practices in accompanying and caring for women with addictive behaviors, through the dissemination of guides, and the organization of a national seminar {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ Develop a bill of specifications for residential care devices specialized in the reception of women with or without children {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.9} ~ By specifically passing on communication tools to schemes and organisations dealing with groups that are vulnerable, due to their social situation or geographical isolation {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.29} ~ By adapting preventive messages to audiences that are socially or economically vulnerable {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.23} ~ Reinforcing preventive action aimed at persons in custody {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.24} ~  By placing greater importance upon initiatives making it possible to approach the most disadvantaged users (outreach initiatives) {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.40} ~ By adapting the provision of information, communication and healthcare to the specific characteristics of vulnerable populations {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.44} ~ Dealing with the Specific Problem of the Diversion of Prescription Drugs in the Prison Environment: By improving training of prison staff and provision of information to prisoners {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.70} ~ Prevention messages about the consumption and trafficking of illicit substances need to be disseminated through internal video channels within penitentiaries {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~ Study psychosocial and environmental determinants of the use of psychoactive substances in armies {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.29} ~ By adapting the supply of healthcare and best professional practices to the populations of urban policy districts as well as to the specific populations {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.33} ~ By conducting reflection on procedures for regular monitoring of data concerning the state of health of persons placed in custody populations {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.43} ~ Improve the management and care of psychoactive substance users in health facilities and penal institutions {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.14} ~ Set up an early intervention program in penal institutions {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.5} ~ Facilitate the intervention of self-support groups in prisons, as well as the organization of the continuity of care for detained persons upon release {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.12} ~ Support the implementation of harm reduction services in penal institutions {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.14} ~ Assess the acceptability of the tools used during the implementation of harm reduction services, in prisons with detained staff and persons {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.14} ~ Support the development of data collection on the health status of persons entering detention {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.16} ~ Continue to inform detainees about the misuse of medications {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.26} ~ "
